# Leung & Nomoto 2018, ApJ 861, 143, Tables 8-9 (stable) and 15 (radioactive)
# rho_c = 3e9 g/cm^3, c3 flame, C/O=1 near-Chandrasekhar deflagration series (300-Z-c3-1).
# Isotope masses ejected (Msun). Columns are Z/Zsun of the WD progenitor.
# radioactive=1 marks isotopes from Table 15 (56Ni etc, not yet decayed at tabulation epoch).
isotope            Z0       Z0p1       Z0p5         Z1         Z2         Z3         Z5 radioactive
70Zn       2.1100e-15 2.1300e-15 2.5500e-15 2.6800e-15 2.9600e-15 3.5100e-15 4.6300e-15           0
22Na       6.6400e-10 1.6000e-09 4.1500e-10 3.9900e-10 3.1200e-10 1.9000e-09 6.3100e-10           1
26Al       3.4700e-07 7.5000e-07 3.8300e-07 3.4500e-07 2.2400e-07 6.1800e-07 2.2700e-07           1
39Ar       1.1900e-13 1.1400e-10 1.6500e-09 5.0000e-09 1.5600e-08 4.1000e-08 5.5100e-08           1
40K        6.8400e-13 1.8800e-09 1.5800e-08 3.8500e-08 8.8900e-08 1.5000e-07 1.2100e-07           1
41Ca       7.8100e-07 3.7400e-06 9.5800e-06 1.3400e-05 1.7000e-05 1.4900e-05 1.3700e-05           1
44Ti       3.7300e-05 3.3800e-05 2.7600e-05 2.4600e-05 2.6000e-05 1.8600e-05 1.5400e-05           1
48V        2.1000e-09 1.2500e-08 5.1500e-08 1.1000e-07 2.3200e-07 2.7600e-07 3.2200e-07           1
49V        7.5200e-08 8.1600e-08 1.5800e-07 3.2000e-07 9.2500e-07 1.9700e-06 4.4600e-06           1
53Mn       3.5200e-04 3.5200e-04 3.6300e-04 3.8100e-04 4.9100e-04 6.6500e-04 9.9100e-04           1
60Fe       1.3300e-09 1.3400e-09 1.5400e-09 1.6000e-09 1.7500e-09 2.1000e-09 2.5800e-09           1
56Co       8.5600e-05 8.7000e-05 9.2500e-05 9.9600e-05 1.1200e-04 1.2400e-04 1.5800e-04           1
57Co       1.1700e-03 1.1700e-03 1.1700e-03 1.1900e-03 1.2400e-03 1.2700e-03 1.3800e-03           1
60Co       7.1000e-08 7.4000e-08 7.5400e-08 7.7000e-08 8.5000e-08 8.3500e-08 9.4800e-08           1
56Ni       6.9600e-01 6.8900e-01 6.5000e-01 6.2700e-01 5.8700e-01 5.5100e-01 4.3800e-01           1
57Ni       1.4500e-02 1.5300e-02 1.7200e-02 1.9500e-02 2.2900e-02 2.5200e-02 2.5600e-02           1
59Ni       3.9000e-04 3.9100e-04 3.9900e-04 4.5000e-04 4.2100e-04 4.3600e-04 4.7900e-04           1
63Ni       5.2900e-08 5.3200e-08 5.4600e-08 5.6100e-08 5.9300e-08 6.2700e-08 7.3000e-08           1
