star,Teff,logg,FeH,e_FeH,Na,Mg,Al,Si,Ca,Ti,Cr,Ni,Y,Zr,La,Ce,Nd,sFe,hsls,Mass_dC16,logL
HD30240,5100.0,2.7,0.02,0.15,-0.02,-0.03,-0.05,0.05,0.07,-0.03,0.01,-0.06,0.83,0.57,0.84,0.69,0.62,0.71,0.02,3.0,1.99
HD30554,4800.0,2.5,-0.12,0.14,-0.08,0.05,0.02,0.08,-0.04,0.0,-0.01,-0.04,0.82,0.57,1.07,0.92,0.77,0.83,0.23,3.0,2.09
HD31812,5100.0,2.6,-0.07,0.11,-0.05,0.1,0.02,0.1,0.07,-0.05,-0.04,-0.04,0.7,0.62,0.63,0.55,0.41,0.58,-0.13,3.0,2.09
HD32712,4600.0,2.1,-0.24,0.16,0.19,0.31,0.13,0.15,0.05,0.01,-0.01,0.03,0.74,0.56,1.53,1.16,1.19,1.04,0.64,2.0,2.24
HD32901,4400.0,1.6,-0.44,0.14,0.12,0.37,0.26,0.27,0.15,0.11,-0.02,0.09,0.35,0.23,1.07,0.84,0.85,0.67,0.63,2.0,2.66
HD33409,4800.0,1.9,-0.59,0.1,0.34,0.29,0.11,0.34,0.21,0.01,-0.09,0.09,0.32,0.1,0.11,0.16,0.06,0.15,-0.1,3.0,2.69
HD33709,5000.0,2.1,-0.2,0.14,0.17,0.19,0.18,0.17,0.14,-0.01,-0.03,-0.02,0.5,0.23,0.52,0.52,0.32,0.42,0.09,4.0,2.69
HD35993,5100.0,2.9,-0.05,0.12,0.03,-0.02,0.0,0.06,0.14,0.0,0.03,0.01,0.9,0.92,1.44,1.15,1.08,1.1,0.31,2.5,1.73
HD36650,4800.0,2.3,-0.28,0.13,0.29,0.35,0.23,0.3,0.2,0.08,-0.03,0.03,0.55,0.46,0.83,0.68,0.57,0.62,0.19,2.0,2.11
HD38488,4400.0,2.0,0.05,0.1,,-0.14,0.06,0.03,,0.11,0.06,0.09,0.97,0.7,1.26,0.78,0.89,0.92,0.14,3.0,2.45
HD39778,5000.0,2.5,-0.12,0.12,-0.04,-0.02,-0.02,0.09,0.11,-0.02,-0.02,-0.05,0.85,0.72,1.09,1.05,0.81,0.9,0.2,3.0,2.16
HD40430,4900.0,2.5,-0.23,0.13,0.15,0.23,0.07,0.18,0.18,-0.02,-0.03,0.08,0.76,0.58,0.91,0.89,0.74,0.78,0.18,2.0,1.96
HD4084,4800.0,2.8,-0.42,0.15,0.35,0.42,0.31,0.35,0.12,0.28,0.08,0.1,0.69,1.02,1.1,0.84,0.74,0.88,0.04,2.0,1.62
HD41701,5000.0,2.6,0.02,0.13,0.11,0.25,0.0,0.19,0.15,-0.02,0.01,0.04,0.48,0.22,0.52,0.4,0.24,0.37,0.04,3.0,2.06
HD42700,4800.0,2.2,-0.25,0.13,0.18,0.24,0.18,0.34,0.18,-0.04,-0.11,0.08,0.02,0.16,0.25,0.25,0.15,0.17,0.13,3.0,2.39
HD43389,4500.0,1.5,-0.5,0.17,0.38,0.51,0.43,0.26,0.44,0.04,,0.09,0.94,1.34,2.65,1.36,1.49,1.56,0.69,4.0,3.16
HD45483,4800.0,2.2,-0.14,0.12,-0.03,0.27,0.1,0.13,0.02,0.0,-0.01,-0.04,0.75,0.55,0.82,0.56,0.44,0.62,-0.04,4.0,2.52
HD48814,4800.0,2.3,-0.07,0.11,0.05,-0.01,-0.01,0.15,0.07,-0.01,-0.01,0.05,0.52,0.26,0.29,0.33,0.21,0.32,-0.11,3.0,2.29
HD49017,5100.0,2.8,0.02,0.11,0.07,0.13,-0.02,0.1,0.04,-0.01,-0.01,-0.02,0.11,0.07,0.31,0.49,0.25,0.25,0.26,3.0,1.9
HD49641,4400.0,1.5,-0.3,0.17,0.24,0.1,0.07,0.22,0.07,-0.02,0.04,0.05,0.89,0.53,1.86,1.04,1.14,1.09,0.64,3.0,2.94
HD49661,5000.0,2.4,-0.13,0.1,0.19,0.01,0.02,0.18,0.08,0.02,-0.04,-0.01,0.12,0.19,0.42,0.39,0.18,0.26,0.17,4.0,2.27
HD49778,5000.0,2.3,-0.22,0.12,0.41,0.26,0.26,0.19,0.23,0.02,0.05,0.02,0.12,0.21,0.4,0.39,0.32,0.29,0.2,3.0,2.37
HD50075,4900.0,2.5,-0.16,0.11,-0.08,0.21,0.04,0.17,0.1,0.0,0.02,0.0,0.72,0.54,1.08,0.99,0.83,0.83,0.34,2.0,1.97
HD50843,4700.0,2.3,-0.31,0.13,0.15,0.22,0.31,0.27,0.2,-0.05,-0.03,0.09,0.26,0.15,0.67,0.75,0.52,0.47,0.44,2.0,2.08
HD51315,4800.0,1.8,-0.05,0.12,0.18,0.05,0.0,0.18,0.09,-0.02,-0.11,-0.04,0.04,0.34,0.21,0.1,0.0,0.14,-0.09,5.0,3.01
HD51959,5000.0,3.2,-0.1,0.15,0.04,0.06,0.07,0.1,0.1,0.08,0.03,0.02,0.61,0.76,0.99,0.87,0.81,0.81,0.2,2.0,1.29
HD53199,5000.0,2.3,-0.23,0.13,0.28,0.18,0.12,0.19,0.21,-0.04,-0.02,0.03,0.68,0.7,1.06,0.93,0.77,0.83,0.23,3.0,2.36
HD5322,4800.0,1.7,-0.18,0.13,0.22,0.15,0.05,0.26,0.14,-0.02,-0.12,0.02,0.03,0.03,0.32,0.21,0.11,0.14,0.18,4.0,3.02
HD5424,4700.0,2.4,-0.41,0.18,0.02,0.27,0.14,0.23,0.18,0.03,0.09,0.07,1.17,0.98,2.51,1.68,1.61,1.59,0.86,1.5,1.86
HD58121,4600.0,1.8,-0.01,0.13,0.23,-0.1,0.1,0.25,0.01,-0.01,0.0,0.04,0.41,0.26,0.5,0.36,0.16,0.34,0.01,5.0,2.87
HD5825,5000.0,2.7,-0.48,0.08,0.22,0.31,0.13,0.31,0.25,0.12,0.06,0.06,0.85,0.65,1.28,1.12,0.93,0.97,0.36,2.0,1.79
HD58368,5000.0,2.6,0.04,0.14,0.11,-0.13,0.08,0.12,0.06,-0.01,-0.04,0.02,0.85,0.6,1.13,0.86,0.69,0.83,0.17,3.0,2.06
HD59852,5000.0,2.2,-0.22,0.1,0.44,0.18,0.08,0.19,0.22,-0.06,-0.03,0.01,0.4,0.27,0.39,0.41,0.3,0.35,0.03,4.0,2.58
HD61332,4700.0,2.1,0.07,0.13,0.38,0.13,0.17,0.16,0.15,0.0,0.0,0.05,0.47,0.35,0.66,0.39,0.42,0.46,0.08,4.0,2.58
HD62017,5000.0,1.8,-0.32,0.14,0.26,0.32,0.36,0.28,0.36,0.02,-0.02,-0.01,0.8,0.63,0.99,0.81,0.59,0.76,0.08,4.0,2.99
HD64425,4900.0,2.4,0.06,0.16,0.2,-0.02,0.1,0.05,0.14,-0.01,-0.01,0.04,0.89,0.83,1.27,0.94,0.98,0.98,0.2,3.0,2.23
HD66291,4600.0,1.5,-0.31,0.15,0.38,0.36,0.31,0.27,0.36,0.2,0.02,0.09,0.74,0.57,0.94,1.09,0.59,0.79,0.22,4.0,3.15
HD67036,4300.0,1.5,-0.41,0.13,0.22,0.28,0.39,0.27,0.21,0.18,0.04,0.05,1.01,0.82,1.71,0.97,1.03,1.11,0.32,2.0,2.72
HD71458,4600.0,2.2,-0.03,0.1,0.02,-0.04,0.05,0.03,0.1,0.02,-0.01,-0.01,0.68,0.51,0.97,0.66,0.67,0.7,0.17,2.5,2.25
HD749,4700.0,2.6,-0.29,0.15,0.13,0.38,0.23,0.27,0.12,0.12,-0.02,0.1,0.95,0.82,1.46,1.0,0.89,1.02,0.23,2.0,1.79
HD74950,4200.0,1.2,-0.21,0.13,0.17,0.23,0.23,0.26,0.1,0.21,0.02,0.1,0.63,0.58,1.22,0.72,0.71,0.77,0.28,3.0,3.16
HD82221,4400.0,1.6,-0.21,0.18,0.22,0.3,0.3,0.26,0.15,0.0,0.0,0.07,0.9,0.79,1.2,0.8,0.77,0.89,0.08,2.0,2.66
HD83548,5000.0,2.4,0.03,0.14,0.1,0.18,0.02,0.17,0.13,-0.02,0.06,0.0,0.69,0.71,0.92,0.77,0.62,0.74,0.07,4.0,2.36
HD84610,4900.0,2.5,0.0,0.14,0.18,0.3,0.04,0.08,0.16,0.02,0.03,0.06,0.71,0.48,0.82,0.5,0.46,0.59,0.0,3.0,2.12
HD84678,4600.0,1.7,-0.13,0.16,0.54,0.18,0.29,0.22,0.01,-0.04,,-0.09,1.09,1.21,2.04,1.52,1.74,1.52,0.62,4.0,2.94
HD88035,4900.0,2.4,-0.1,0.18,-0.03,0.15,0.03,0.04,-0.02,-0.06,-0.06,-0.02,0.87,0.8,1.74,1.14,1.06,1.12,0.48,3.0,2.23
HD88495,4900.0,3.0,-0.11,0.1,0.12,0.15,0.08,0.21,0.11,0.03,0.01,0.1,0.68,0.66,0.79,0.75,0.43,0.66,-0.01,2.0,1.45
HD88562,4300.0,1.6,-0.27,0.15,0.21,0.28,0.24,0.22,0.18,0.14,0.01,0.03,0.75,0.9,1.34,1.0,1.06,1.01,0.31,1.5,2.51
HD88927,4600.0,2.3,0.02,0.13,0.08,0.0,0.12,0.17,0.15,-0.03,-0.11,0.0,0.49,0.32,0.3,0.31,0.12,0.31,-0.16,2.5,2.14
HD89175,4900.0,2.1,-0.55,0.13,0.18,0.39,0.33,0.19,0.27,0.08,0.03,0.06,1.02,1.04,2.22,1.7,1.72,1.54,0.85,2.0,2.36
HD89638,4900.0,2.4,-0.19,0.11,0.29,0.15,0.09,0.2,0.15,-0.07,-0.04,0.03,0.55,0.37,0.71,0.78,0.54,0.59,0.22,3.0,2.23
HD90127,4600.0,2.2,-0.4,0.1,0.33,0.41,0.33,0.35,0.24,0.15,-0.01,0.07,0.72,0.67,1.19,0.83,0.74,0.83,0.22,1.5,2.0
HD90167,5000.0,2.6,-0.04,0.11,0.03,0.06,0.03,0.07,0.13,-0.05,0.03,0.02,0.53,0.48,0.32,0.39,0.22,0.39,-0.19,3.0,2.07
HD91208,5100.0,3.0,0.05,0.14,0.02,0.01,0.1,0.08,0.08,-0.01,0.01,0.0,0.94,0.61,0.81,0.84,0.67,0.77,0.0,2.5,1.62
HD91979,4900.0,2.7,-0.11,0.12,0.14,0.16,0.07,0.19,0.11,-0.03,0.01,0.03,0.78,0.69,1.09,0.93,0.73,0.84,0.18,3.0,1.93
HD92626,4800.0,2.3,-0.15,0.22,0.22,-0.07,0.25,0.22,0.15,0.05,0.06,0.09,0.99,1.21,2.51,1.74,1.69,1.63,0.88,2.0,2.11
HD95193,5000.0,2.7,0.04,0.12,0.03,0.14,-0.02,0.16,0.05,-0.02,0.0,0.03,0.75,0.48,0.68,0.46,0.39,0.55,-0.1,3.0,1.97
HD95345,4500.0,1.8,-0.16,0.1,0.06,0.26,0.06,0.25,0.09,-0.03,-0.04,0.09,0.12,-0.1,0.17,0.31,0.22,0.14,0.22,2.0,2.5
MFU112,4900.0,2.4,-0.43,0.15,0.4,0.33,0.37,0.13,0.26,0.09,0.0,0.07,0.99,1.26,2.38,1.62,1.39,1.53,0.67,3.0,2.23
MFU214,4800.0,2.4,0.0,0.12,-0.07,0.01,-0.07,0.12,-0.03,-0.01,-0.03,0.03,0.6,0.31,0.25,0.19,0.16,0.3,-0.26,3.0,2.19
MFU229,4900.0,2.6,-0.01,0.11,0.1,-0.04,0.02,0.13,0.05,-0.06,0.02,0.05,0.67,0.56,0.57,0.51,0.4,0.54,-0.12,3.0,2.03
