# Cinquegrana, Heger & Karakas 2025
M      10.5   10.8   11.0   11.3   11.5   11.8   12.0   12.3   12.5   12.8   13.0   13.3   13.5   13.8   14.0   14.3   14.5   14.8   15.0   15.3   15.5   15.8   16.0   16.3   16.5   16.8   17.0   17.3   17.5   17.8   18.0   18.3   18.5   18.8   19.0   19.3   19.5   19.8   20.0
E      1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0
Mrem   1.578   1.603   1.552   1.636   1.603   1.576   1.579   1.634   12.448   12.695   1.443   1.470   1.492   1.533   1.561   1.576   14.424   14.672   1.503   15.165   1.559   15.659   1.564   1.768   1.676   1.636   1.597   17.137   17.382   17.627   17.873   18.112   18.359   18.607   18.843   19.090   19.331   19.584   19.830
B10   1.697159e-11   1.739357e-11   1.824711e-11   1.855070e-11   1.923520e-11   1.998051e-11   2.052643e-11   2.059353e-11   1.197830e-12   1.275496e-12   2.474239e-11   2.439360e-11   2.423322e-11   2.422582e-11   2.439767e-11   2.461570e-11   1.796524e-12   1.856203e-12   2.704044e-11   2.024336e-12   2.755629e-11   2.187465e-12   2.725982e-11   2.658768e-11   2.722213e-11   2.906450e-11   3.146354e-11   2.745661e-12   2.874983e-12   3.001249e-12   3.096794e-12   3.375652e-12   3.445790e-12   3.511411e-12   3.853376e-12   3.936023e-12   4.134423e-12   4.095925e-12   4.183437e-12
B11   1.307327e-08   1.464744e-08   2.751005e-08   2.558156e-08   3.702797e-08   4.600958e-08   4.883942e-08   2.489571e-08   5.319950e-12   5.663981e-12   1.286638e-07   1.186495e-07   1.205269e-07   1.483082e-07   1.593362e-07   1.529636e-07   7.983508e-12   8.244399e-12   1.988515e-07   8.990775e-12   2.420655e-07   9.720894e-12   2.224856e-07   2.837274e-07   3.660592e-07   3.055762e-07   3.697695e-07   1.220891e-11   1.278648e-11   1.335047e-11   1.377171e-11   1.500293e-11   1.531978e-11   1.561044e-11   1.712983e-11   1.751042e-11   1.839551e-11   1.823034e-11   1.862032e-11
C12   3.651041e-03   4.235323e-03   7.204001e-03   6.688684e-03   8.793540e-03   1.043510e-02   1.144743e-02   1.038613e-02   3.789941e-06   4.032468e-06   4.786744e-02   4.729034e-02   4.841269e-02   5.181022e-02   5.482433e-02   5.686478e-02   5.627523e-06   5.808657e-06   8.470545e-02   6.317985e-06   9.573980e-02   6.809804e-06   1.057628e-01   8.665912e-02   1.150928e-01   1.234122e-01   1.403916e-01   8.472080e-06   8.872218e-06   9.233559e-06   9.510920e-06   1.039835e-05   1.057779e-05   1.077394e-05   1.182856e-05   1.205397e-05   1.267196e-05   1.250481e-05   1.277201e-05
C13   1.865345e-05   1.913696e-05   1.957538e-05   2.007916e-05   2.050894e-05   2.118313e-05   2.170084e-05   2.212875e-05   5.069095e-08   5.374623e-08   2.620694e-05   2.611035e-05   2.602747e-05   2.494325e-05   2.537178e-05   2.575628e-05   7.165542e-08   7.354334e-08   2.730505e-05   7.850917e-08   2.918399e-05   8.357186e-08   2.872119e-05   3.012064e-05   3.009427e-05   3.283378e-05   3.155496e-05   9.961034e-08   1.042577e-07   1.074426e-07   1.095968e-07   1.210642e-07   1.222895e-07   1.237864e-07   1.360379e-07   1.379862e-07   1.457507e-07   1.425129e-07   1.453789e-07
N14   7.989999e-04   8.253285e-04   8.649444e-04   8.842634e-04   9.173954e-04   9.572000e-04   9.918584e-04   1.013344e-03   1.227398e-06   1.300798e-06   1.170774e-03   1.193368e-03   1.216266e-03   1.242258e-03   1.262328e-03   1.295856e-03   1.709973e-06   1.748539e-06   1.389058e-03   1.869421e-06   1.425952e-03   1.992212e-06   1.480479e-03   1.531968e-03   1.551655e-03   1.568827e-03   1.595522e-03   2.417614e-06   2.530069e-06   2.624270e-06   2.694236e-06   2.957629e-06   2.999336e-06   3.048824e-06   3.350289e-06   3.408096e-06   3.590849e-06   3.531935e-06   3.607125e-06
N15   6.002442e-07   6.745606e-07   1.016620e-06   9.199183e-07   1.113534e-06   1.282225e-06   1.423708e-06   1.539053e-06   2.557090e-09   2.721725e-09   4.556111e-06   4.952535e-06   5.339378e-06   5.934622e-06   5.997307e-06   6.257699e-06   3.810748e-09   3.933925e-09   1.086671e-05   4.285137e-09   1.114098e-05   4.624360e-09   1.236388e-05   7.432694e-06   8.782398e-06   1.360841e-05   1.553275e-05   5.773469e-09   6.046336e-09   6.298495e-09   6.491604e-09   7.089483e-09   7.219178e-09   7.356107e-09   8.075492e-09   8.234691e-09   8.650751e-09   8.547057e-09   8.729984e-09
O16   1.005984e-02   1.199677e-02   1.931267e-02   1.826626e-02   2.310753e-02   2.835624e-02   3.152698e-02   3.395538e-02   9.510599e-06   1.011112e-05   1.373571e-01   1.551513e-01   1.691692e-01   1.661233e-01   1.745929e-01   1.869992e-01   1.395595e-05   1.437903e-05   3.605722e-01   1.559039e-05   3.971151e-01   1.676805e-05   4.713068e-01   2.919011e-01   3.922580e-01   5.421653e-01   6.256764e-01   2.076353e-05   2.174130e-05   2.261232e-05   2.327673e-05   2.546696e-05   2.589209e-05   2.636204e-05   2.894659e-05   2.948839e-05   3.101251e-05   3.058485e-05   3.123772e-05
O17   1.082786e-05   1.066106e-05   1.052331e-05   1.055778e-05   1.022638e-05   1.019027e-05   1.003575e-05   1.026339e-05   5.370000e-09   5.609962e-09   9.651542e-06   9.258444e-06   9.230836e-06   1.019211e-05   1.018131e-05   1.002329e-05   6.027950e-09   6.021328e-09   1.003008e-05   6.251887e-09   9.331602e-06   6.569152e-09   1.060532e-05   8.916569e-06   9.698701e-06   9.905068e-06   1.219090e-05   7.827400e-09   8.181211e-09   8.479649e-09   8.701659e-09   9.566707e-09   9.689287e-09   9.847002e-09   1.082347e-08   1.100963e-08   1.159871e-08   1.141037e-08   1.165252e-08
O18   2.649500e-06   2.840471e-06   3.565205e-06   3.470706e-06   3.952742e-06   4.321812e-06   4.537774e-06   4.503323e-06   1.981647e-08   2.108003e-08   1.955554e-05   2.474855e-05   2.990782e-05   2.777116e-05   2.671165e-05   2.892090e-05   2.935713e-08   3.029630e-08   4.908630e-05   3.292549e-08   4.315871e-05   3.546708e-08   3.717227e-05   2.335317e-05   2.166526e-05   2.854552e-05   3.023086e-05   4.405509e-08   4.613633e-08   4.800126e-08   4.943101e-08   5.405983e-08   5.497989e-08   5.599009e-08   6.147390e-08   6.263521e-08   6.585863e-08   6.497094e-08   6.635868e-08
F19   2.277991e-07   2.215739e-07   2.921022e-07   2.802935e-07   2.790510e-07   2.588868e-07   3.154266e-07   5.257264e-07   8.617117e-10   9.162117e-10   3.665593e-07   2.922410e-07   2.890483e-07   1.701277e-06   1.620531e-06   1.794322e-06   1.267018e-09   1.305664e-09   3.985875e-06   1.416041e-09   3.810603e-07   1.523188e-09   3.882675e-06   5.097729e-07   1.260610e-06   8.724733e-07   3.354555e-06   1.886499e-09   1.975351e-09   2.054526e-09   2.114921e-09   2.313853e-09   2.352533e-09   2.395253e-09   2.630065e-09   2.679313e-09   2.817764e-09   2.778946e-09   2.838268e-09
Ne20  1.919194e-03   2.087537e-03   3.249123e-03   3.119985e-03   3.605378e-03   3.714644e-03   4.148087e-03   4.955318e-03   2.922268e-06   3.106653e-06   7.397712e-03   5.525577e-03   5.464773e-03   2.596862e-02   2.683688e-02   2.948191e-02   4.284777e-06   4.414421e-06   6.338203e-02   4.785520e-06   6.443524e-03   5.146597e-06   7.099083e-02   1.643827e-02   4.708330e-02   2.149775e-02   6.515268e-02   6.371717e-06   6.671748e-06   6.938825e-06   7.142524e-06   7.814974e-06   7.945164e-06   8.089234e-06   8.882423e-06   9.048541e-06   9.516437e-06   9.384922e-06   9.585242e-06
Ne21  3.225534e-06   3.188773e-06   3.893355e-06   3.881377e-06   4.258372e-06   5.148939e-06   6.054086e-06   5.241208e-06   7.423103e-09   7.886902e-09   1.139661e-05   1.037469e-05   1.054409e-05   2.180720e-05   2.298636e-05   2.529360e-05   1.082573e-08   1.114892e-08   4.186079e-05   1.207737e-08   1.768235e-05   1.298394e-08   3.920018e-05   2.044127e-05   4.710929e-05   2.889333e-05   5.896247e-05   1.606469e-08   1.682081e-08   1.749299e-08   1.800560e-08   1.970243e-08   2.002939e-08   2.039201e-08   2.239192e-08   2.281012e-08   2.399042e-08   2.365781e-08   2.416274e-08
