# Cinquegrana, Heger & Karakas 2025
M      11.0   11.3   11.5   11.8   12.0   12.3   12.5   12.8   13.0   13.3   13.5   13.8   14.0   14.3   14.5   14.8   15.0   15.3   15.5   15.8   16.0   16.3   16.5   16.8   17.0   17.3   17.5   17.8   18.0   18.3
E      1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0
Mrem   1.289   1.535   1.322   1.509   1.409   1.411   1.554   10.741   1.529   1.601   9.263   1.428   1.443   1.466   1.482   1.502   1.518   1.555   1.579   1.604   1.596   9.463   9.525   1.814   9.423   1.868   8.874   8.586   8.766   1.638
Ca44  5.707092e-05   5.717419e-05   5.945973e-05   6.051700e-05   6.277943e-05   6.426958e-05   6.486162e-05   1.171675e-05   6.799717e-05   6.834678e-05   2.470529e-05   7.584950e-05   7.674354e-05   1.060059e-04   7.980158e-05   8.098830e-05   8.298438e-05   9.628415e-05   1.038106e-04   8.741308e-05   8.971339e-05   3.957827e-05   4.067189e-05   9.069204e-05   4.418527e-05   9.379842e-05   5.029973e-05   5.343959e-05   5.384663e-05   1.173691e-04
Ca46  1.139196e-07   1.420223e-07   1.987626e-07   1.960401e-07   2.283063e-07   2.640246e-07   2.573463e-07   2.348877e-08   3.699888e-07   3.392186e-07   4.952711e-08   8.164047e-07   9.329437e-07   1.594337e-06   1.108780e-06   1.213754e-06   1.385675e-06   1.484158e-06   3.370639e-06   1.903227e-06   2.409844e-06   7.934322e-08   8.153563e-08   1.133181e-06   8.857895e-08   1.389137e-06   1.008367e-07   1.071313e-07   1.079473e-07   3.106168e-06
Ca48  5.530389e-06   5.542526e-06   5.800044e-06   5.836596e-06   6.033167e-06   6.174244e-06   6.236422e-06   1.145864e-06   6.553316e-06   6.582303e-06   2.416105e-06   7.009886e-06   7.144016e-06   7.207392e-06   7.409750e-06   7.546273e-06   7.679208e-06   7.732372e-06   7.860997e-06   8.124760e-06   8.225118e-06   3.870638e-06   3.977592e-06   8.498994e-06   4.321189e-06   8.745148e-06   4.919166e-06   5.226236e-06   5.266043e-06   9.403554e-06
Sc45  1.674661e-06   1.682782e-06   1.838189e-06   1.827050e-06   1.914940e-06   1.992499e-06   1.997172e-06   3.386995e-07   2.180582e-06   2.166854e-06   7.141628e-07   3.380053e-06   3.245694e-06   1.362933e-05   3.489425e-06   3.575671e-06   3.793515e-06   8.473847e-06   1.124409e-05   4.192659e-06   4.781652e-06   1.144100e-06   1.175714e-06   3.773122e-06   1.277276e-06   4.182339e-06   1.454029e-06   1.544794e-06   1.556560e-06   9.314099e-06
Ti46  1.278376e-05   1.014101e-05   1.822613e-05   1.092428e-05   1.143385e-05   1.171261e-05   1.160604e-05   2.081017e-06   1.266484e-05   1.247288e-05   4.387915e-06   2.742390e-05   2.654294e-05   3.248370e-05   2.180486e-05   2.062254e-05   2.232201e-05   2.562754e-05   1.964090e-05   1.914442e-05   1.882899e-05   7.029511e-06   7.223750e-06   1.659400e-05   7.847762e-06   1.709663e-05   8.933753e-06   9.491426e-06   9.563721e-06   3.388847e-05
Ti47  9.476547e-06   9.363731e-06   9.855954e-06   9.892346e-06   1.027184e-05   1.051349e-05   1.059107e-05   1.916962e-06   1.123619e-05   1.119930e-05   4.041999e-06   1.344997e-05   1.278673e-05   2.301623e-05   1.321861e-05   1.345668e-05   1.381500e-05   1.910399e-05   1.807907e-05   1.480695e-05   1.504733e-05   6.475348e-06   6.654275e-06   1.475608e-05   7.229093e-06   1.520666e-05   8.229472e-06   8.743182e-06   8.809777e-06   2.099945e-05
Ti48  9.533583e-05   9.535155e-05   9.799795e-05   1.010339e-04   1.058586e-04   1.080649e-04   1.085368e-04   1.940525e-05   1.147935e-04   1.147353e-04   4.091682e-05   1.281004e-04   1.290775e-04   1.328763e-04   1.348098e-04   1.367465e-04   1.404682e-04   1.404798e-04   1.396913e-04   1.489715e-04   1.520284e-04   6.554941e-05   6.736067e-05   1.499034e-04   7.317951e-05   1.540730e-04   8.330625e-05   8.850650e-05   8.918063e-05   1.836429e-04
Ti49  7.198885e-06   7.152141e-06   7.606875e-06   7.627682e-06   8.075758e-06   8.253867e-06   8.210817e-06   1.453499e-06   8.687945e-06   8.724104e-06   3.064766e-06   1.063277e-05   1.043653e-05   1.552385e-05   1.095814e-05   1.115232e-05   1.142436e-05   1.420532e-05   1.380302e-05   1.213416e-05   1.247521e-05   4.909805e-06   5.045472e-06   1.234289e-05   5.481317e-06   1.293712e-05   6.239834e-06   6.629345e-06   6.679839e-06   1.769075e-05
Ti50  6.903375e-06   6.989542e-06   7.442634e-06   7.512971e-06   7.850461e-06   8.099483e-06   8.107367e-06   1.421683e-06   8.530945e-06   8.616794e-06   2.997682e-06   1.039937e-05   1.076631e-05   1.279974e-05   1.141517e-05   1.158664e-05   1.203607e-05   1.348311e-05   1.414266e-05   1.245020e-05   1.365480e-05   4.802334e-06   4.935033e-06   1.327153e-05   5.361337e-06   1.421863e-05   6.103251e-06   6.484235e-06   6.533625e-06   2.034049e-05
V50   4.240870e-08   3.881543e-08   4.102349e-08   4.346079e-08   4.709766e-08   4.925218e-08   4.679848e-08   7.663183e-09   5.246264e-08   5.154972e-08   1.615816e-08   9.868650e-08   7.154946e-08   1.764964e-06   7.248485e-08   7.455263e-08   7.739573e-08   1.140691e-06   5.072170e-07   8.118170e-08   9.068969e-08   2.588563e-08   2.660090e-08   7.086345e-08   2.889878e-08   7.455658e-08   3.289786e-08   3.495144e-08   3.521766e-08   3.885475e-07
V51   1.580259e-05   1.534290e-05   1.711812e-05   1.641052e-05   1.751355e-05   1.790988e-05   1.761259e-05   3.122387e-06   1.903343e-05   1.891355e-05   6.583691e-06   2.435632e-05   2.309515e-05   2.564705e-05   2.376802e-05   2.407460e-05   2.470936e-05   2.565788e-05   2.384164e-05   2.609584e-05   2.677222e-05   1.054718e-05   1.083862e-05   2.483964e-05   1.177489e-05   2.566828e-05   1.340433e-05   1.424107e-05   1.434954e-05   3.454152e-05
