# Cinquegrana, Heger & Karakas 2025
M      10.5   10.8   11.0   11.3   11.5   12.0   12.3   12.5   12.8   13.0   13.3   13.5   13.8   14.0   14.3   14.5   14.8   15.0   15.3   15.5   15.8   16.0   16.5
E      1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0
Mrem   1.306   1.315   1.397   1.506   1.387   1.411   1.423   1.514   1.585   1.590   1.681   1.426   1.473   1.493   1.513   1.540   1.550   1.544   1.458   1.455   1.540   1.560   1.568
Si28  3.523954e-02   3.824766e-02   3.630645e-02   3.648535e-02   4.292571e-02   4.325101e-02   4.455227e-02   4.259646e-02   4.205626e-02   4.333710e-02   4.394500e-02   6.112276e-02   7.212868e-02   5.862513e-02   6.241179e-02   6.027855e-02   6.088258e-02   6.192921e-02   6.881614e-02   7.825904e-02   9.339029e-02   7.391877e-02   7.242835e-02
Si29  1.758235e-03   1.838037e-03   1.911672e-03   1.975040e-03   2.148012e-03   2.218524e-03   2.282140e-03   2.284049e-03   2.467367e-03   2.368870e-03   2.396502e-03   2.830095e-03   4.947421e-03   2.902710e-03   2.717402e-03   3.142045e-03   3.285743e-03   3.559640e-03   3.879724e-03   4.132164e-03   9.335012e-03   4.667632e-03   5.014985e-03
Si30  1.204167e-03   1.275559e-03   1.466598e-03   1.553234e-03   1.782253e-03   1.752071e-03   1.839224e-03   1.912697e-03   1.905904e-03   1.936083e-03   1.943675e-03   2.058352e-03   3.929885e-03   2.078322e-03   1.946235e-03   2.384967e-03   2.574327e-03   3.003345e-03   2.936404e-03   3.225313e-03   9.180426e-03   4.315946e-03   4.713932e-03
P31   3.452931e-04   3.616672e-04   3.806742e-04   3.946039e-04   4.545236e-04   4.639840e-04   4.762163e-04   4.733595e-04   4.989811e-04   4.798303e-04   4.848601e-04   6.793789e-04   1.687850e-03   7.540956e-04   7.069748e-04   8.282360e-04   8.725843e-04   9.308392e-04   1.074969e-03   1.145929e-03   3.569603e-03   1.268441e-03   1.397334e-03
S32   1.810741e-02   1.974908e-02   1.839997e-02   1.849562e-02   2.099416e-02   2.146902e-02   2.211060e-02   2.133107e-02   2.111251e-02   2.174419e-02   2.208659e-02   3.132673e-02   3.601429e-02   2.884109e-02   2.975551e-02   2.911308e-02   2.928264e-02   2.931499e-02   3.314487e-02   3.888696e-02   4.263464e-02   3.398870e-02   3.329531e-02
S33   1.453431e-04   1.506466e-04   1.496937e-04   1.512223e-04   1.738468e-04   1.784697e-04   1.825870e-04   1.743284e-04   1.729160e-04   1.776396e-04   1.808920e-04   2.375445e-04   3.688166e-04   2.408641e-04   2.494611e-04   2.457363e-04   2.484349e-04   2.497150e-04   2.707725e-04   3.020325e-04   4.589967e-04   2.909892e-04   2.817205e-04
S34   9.431004e-04   1.070278e-03   9.390826e-04   9.532946e-04   1.420987e-03   1.497740e-03   1.527110e-03   1.168511e-03   1.074788e-03   1.148857e-03   1.171791e-03   2.509448e-03   5.191689e-03   2.164189e-03   2.802848e-03   2.327314e-03   2.314182e-03   2.200871e-03   2.324029e-03   3.548614e-03   1.023133e-02   2.744423e-03   2.314161e-03
S36   3.181771e-06   3.471047e-06   3.776170e-06   4.065139e-06   4.620826e-06   4.976291e-06   5.120832e-06   5.046298e-06   5.014505e-06   5.038782e-06   5.090530e-06   8.893531e-06   7.692671e-05   1.051361e-05   9.617830e-06   1.201699e-05   1.284440e-05   1.407762e-05   1.739326e-05   1.886131e-05   2.452911e-04   2.078591e-05   2.432597e-05
Cl35  1.873226e-04   1.920881e-04   1.899812e-04   1.918427e-04   2.131924e-04   2.214285e-04   2.267496e-04   2.181536e-04   2.199883e-04   2.243798e-04   2.286329e-04   2.858882e-04   1.041353e-03   2.987341e-04   3.024703e-04   2.932428e-04   2.937268e-04   2.900246e-04   3.235029e-04   3.489240e-04   1.658676e-03   3.249855e-04   3.189250e-04
Cl37  6.443768e-05   6.724197e-05   6.742724e-05   6.954794e-05   7.461900e-05   8.122166e-05   8.324422e-05   8.004714e-05   7.940816e-05   8.199763e-05   8.337136e-05   1.239022e-04   2.082225e-04   1.353706e-04   1.332231e-04   1.369824e-04   1.398328e-04   1.504419e-04   1.916028e-04   2.097443e-04   3.397929e-04   2.034240e-04   2.273786e-04
Ar36  3.975771e-03   4.226446e-03   4.054399e-03   4.087921e-03   4.429656e-03   4.577451e-03   4.703541e-03   4.666786e-03   4.666426e-03   4.779379e-03   4.854376e-03   6.291477e-03   6.251745e-03   5.927846e-03   5.972620e-03   5.970712e-03   6.014553e-03   6.046241e-03   6.679315e-03   7.522479e-03   6.374416e-03   6.736365e-03   6.747709e-03
Ar38  9.452028e-04   1.139588e-03   8.182968e-04   8.171537e-04   1.279281e-03   1.421288e-03   1.462419e-03   9.593597e-04   9.268273e-04   9.649787e-04   9.906565e-04   3.197549e-03   5.158758e-03   2.326193e-03   2.683536e-03   2.185130e-03   2.069257e-03   1.787317e-03   2.526597e-03   4.442205e-03   6.630184e-03   2.399675e-03   1.956033e-03
Ar40  1.404664e-06   1.572982e-06   1.730305e-06   1.984177e-06   2.382217e-06   2.700456e-06   2.782353e-06   2.593881e-06   2.508159e-06   2.493429e-06   2.522392e-06   5.983594e-06   2.267348e-05   7.706774e-06   7.272692e-06   8.898882e-06   9.489288e-06   9.972360e-06   1.340040e-05   1.437484e-05   4.774927e-05   1.489120e-05   1.921308e-05
K39   1.790926e-04   1.858846e-04   1.777232e-04   1.799127e-04   2.006319e-04   2.106658e-04   2.162554e-04   2.042425e-04   2.058593e-04   2.101368e-04   2.142637e-04   3.029958e-04   9.749708e-04   3.030810e-04   2.900413e-04   2.826954e-04   2.808979e-04   2.762605e-04   3.356069e-04   3.840657e-04   9.808576e-04   3.191522e-04   3.208210e-04
K40   3.182717e-07   3.292969e-07   3.506029e-07   3.776957e-07   3.782888e-07   4.506747e-07   4.528020e-07   4.415132e-07   4.119477e-07   4.341777e-07   4.394864e-07   7.729148e-07   4.470407e-05   1.030112e-06   9.380458e-07   9.568667e-07   9.760905e-07   1.119870e-06   1.517739e-06   1.618317e-06   4.955336e-05   1.688449e-06   1.821949e-06
K41   1.339019e-05   1.384982e-05   1.377094e-05   1.404336e-05   1.530622e-05   1.604275e-05   1.643934e-05   1.600952e-05   1.600861e-05   1.639210e-05   1.670785e-05   2.215432e-05   4.462232e-05   2.309157e-05   2.214830e-05   2.257238e-05   2.285740e-05   2.361081e-05   2.779353e-05   3.047133e-05   5.156289e-05   2.822290e-05   2.943526e-05
Ca40  2.967512e-03   3.157980e-03   3.026460e-03   3.054700e-03   3.252886e-03   3.357136e-03   3.450675e-03   3.487900e-03   3.482985e-03   3.569757e-03   3.619447e-03   4.689893e-03   4.282779e-03   4.316871e-03   4.284152e-03   4.355212e-03   4.405333e-03   4.491592e-03   4.938735e-03   5.515560e-03   4.356212e-03   4.948011e-03   5.003545e-03
Ca42  2.668424e-05   3.098042e-05   2.225728e-05   2.226609e-05   3.358106e-05   3.725251e-05   3.841237e-05   2.596574e-05   2.523594e-05   2.617369e-05   2.688539e-05   9.264151e-05   1.178669e-04   6.973789e-05   6.973370e-05   6.111178e-05   5.712343e-05   4.706694e-05   7.646137e-05   1.274417e-04   1.061046e-04   6.570502e-05   5.691963e-05
