# Cinquegrana, Heger & Karakas 2025
M      10.5   10.8   11.0   11.3   11.5   11.8   12.0   12.3   12.5   12.8   13.0   13.3   13.5   13.8   14.0   14.3   14.5   14.8   15.0   15.3   15.5   15.8   16.0   16.3   16.5   16.8   17.0   17.3   17.5   17.8   18.0   18.3   18.5   18.8   19.0   19.3   19.5   19.8
E      1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0
Mrem   1.562   1.563   1.523   1.541   11.181   1.575   1.654   1.615   1.633   1.686   1.689   1.626   1.631   1.656   13.271   1.416   1.427   1.451   1.472   1.518   1.560   1.593   15.055   15.259   15.494   15.711   1.544   1.506   16.379   1.704   1.680   1.633   1.589   17.441   17.218   17.593   17.632   18.136
B10   2.718408e-10   3.084865e-10   3.745863e-10   3.887533e-10   8.950075e-11   4.080719e-10   4.150100e-10   4.241944e-10   4.335232e-10   4.411722e-10   4.505013e-10   4.692728e-10   4.803534e-10   4.886638e-10   1.347574e-10   5.068066e-10   4.992399e-10   5.106858e-10   5.179044e-10   4.881710e-10   4.888830e-10   4.933617e-10   1.887839e-10   1.963175e-10   2.042948e-10   2.125074e-10   5.074000e-10   3.994033e-10   2.370398e-10   5.224198e-10   5.312970e-10   4.228265e-10   5.261439e-10   2.850454e-10   3.058975e-10   3.111419e-10   3.247568e-10   3.295631e-10
B11   2.457133e-08   3.197927e-08   3.042557e-08   3.622134e-08   3.934927e-10   4.628428e-08   4.557864e-08   4.462291e-08   5.848777e-08   6.074426e-08   5.837904e-08   4.022147e-08   3.990515e-08   4.431518e-08   5.744268e-10   2.848687e-07   3.083330e-07   3.416729e-07   4.533927e-07   2.729358e-07   2.978203e-07   3.246935e-07   8.063455e-10   8.370656e-10   8.717911e-10   9.060562e-10   4.313776e-07   2.496868e-07   1.007152e-09   4.839838e-07   4.661728e-07   2.803507e-07   4.741420e-07   1.188434e-09   1.237334e-09   1.262762e-09   1.299027e-09   1.325162e-09
C12   9.846049e-03   1.122944e-02   1.173402e-02   1.273702e-02   3.217155e-04   1.403892e-02   1.437303e-02   1.535496e-02   1.652004e-02   1.722836e-02   1.778600e-02   2.066932e-02   2.273025e-02   2.372942e-02   6.816729e-04   7.585906e-02   8.234454e-02   8.686825e-02   9.936961e-02   8.446530e-02   8.622662e-02   9.063880e-02   9.080237e-04   9.509543e-04   9.709163e-04   1.004420e-03   1.387737e-01   1.243486e-01   1.092930e-03   1.369687e-01   1.452504e-01   1.318045e-01   1.769137e-01   1.292181e-03   1.720052e-03   1.619154e-03   1.816192e-03   1.594597e-03
C13   3.248408e-04   3.197810e-04   3.264407e-04   3.349044e-04   6.336979e-06   3.511064e-04   3.594481e-04   3.660051e-04   3.745417e-04   3.834796e-04   3.917348e-04   4.001182e-04   4.080799e-04   4.158523e-04   2.293496e-05   4.179865e-04   4.247892e-04   4.325263e-04   4.397739e-04   4.479529e-04   4.561856e-04   4.628893e-04   2.887330e-05   3.047908e-05   3.026474e-05   3.107050e-05   4.854383e-04   4.184462e-04   3.247201e-05   5.140967e-04   5.183981e-04   4.412080e-04   5.192655e-04   3.620782e-05   5.940036e-05   5.228494e-05   6.217895e-05   4.662692e-05
N14   9.353863e-03   9.682394e-03   1.019040e-02   1.054396e-02   1.224713e-04   1.128690e-02   1.158644e-02   1.200517e-02   1.241014e-02   1.277845e-02   1.318992e-02   1.381567e-02   1.427415e-02   1.461310e-02   3.369417e-04   1.589849e-02   1.611812e-02   1.653535e-02   1.680263e-02   1.686973e-02   1.713382e-02   1.752613e-02   4.151297e-04   4.363095e-04   4.410598e-04   4.564207e-04   1.912129e-02   1.646515e-02   4.856251e-04   2.050888e-02   2.095329e-02   1.775045e-02   2.110544e-02   5.601671e-04   8.030190e-04   7.207473e-04   8.228483e-04   6.924555e-04
N15   3.471612e-06   3.948919e-06   3.779939e-06   3.979743e-06   2.074619e-07   4.225802e-06   4.305880e-06   4.466673e-06   4.593982e-06   4.730529e-06   4.977320e-06   5.587127e-06   5.931170e-06   6.116812e-06   3.940301e-07   1.591803e-05   1.920272e-05   1.924546e-05   1.710421e-05   1.305727e-05   1.403018e-05   1.421686e-05   5.312492e-07   5.551067e-07   5.701382e-07   5.907815e-07   2.615410e-05   1.829697e-05   6.479351e-07   2.124004e-05   2.325205e-05   2.132193e-05   3.285941e-05   7.717707e-07   9.653117e-07   9.281267e-07   1.020170e-06   9.360945e-07
O16   2.933915e-02   3.293857e-02   3.790289e-02   4.111703e-02   8.338421e-04   4.520754e-02   4.608359e-02   4.892190e-02   5.048874e-02   5.218835e-02   5.549048e-02   7.168747e-02   7.974208e-02   8.124514e-02   1.901530e-03   2.726236e-01   2.914574e-01   3.037606e-01   3.200399e-01   3.301407e-01   3.438094e-01   3.580995e-01   2.455059e-03   2.574312e-03   2.611597e-03   2.692430e-03   6.746388e-01   6.661679e-01   2.900998e-03   6.391290e-01   7.225351e-01   7.497637e-01   1.042056e+00   3.379857e-03   4.591512e-03   4.277909e-03   4.818057e-03   4.160600e-03
O17   4.341633e-05   4.328448e-05   4.218257e-05   4.180110e-05   3.959448e-07   4.110537e-05   4.106866e-05   3.980430e-05   3.875159e-05   3.915609e-05   3.872782e-05   3.777228e-05   3.710624e-05   3.696343e-05   9.074433e-07   3.729991e-05   3.954912e-05   3.822278e-05   3.691313e-05   3.349390e-05   3.244311e-05   3.205528e-05   1.101100e-06   1.151457e-06   1.173831e-06   1.211463e-06   3.404785e-05   2.482808e-05   1.274714e-06   3.097926e-05   3.216006e-05   2.661472e-05   3.599530e-05   1.466347e-06   2.060378e-06   1.863507e-06   2.103814e-06   1.786963e-06
O18   5.241294e-05   5.200468e-05   5.636772e-05   6.011490e-05   1.714454e-06   6.521157e-05   6.583706e-05   6.917049e-05   7.199512e-05   7.324608e-05   7.595759e-05   8.786338e-05   9.213884e-05   8.979191e-05   3.783093e-06   7.728539e-04   9.216936e-04   9.472167e-04   1.078446e-03   1.061626e-03   1.174554e-03   1.196128e-03   4.978573e-06   5.217900e-06   5.304288e-06   5.478432e-06   1.242311e-03   9.910238e-04   5.931679e-06   7.188403e-04   8.580037e-04   7.641439e-04   8.261362e-04   6.952758e-06   9.361425e-06   8.770149e-06   9.865656e-06   8.571990e-06
F19   3.963771e-06   4.167894e-06   2.121000e-06   2.174570e-06   7.572957e-08   2.249499e-06   2.320662e-06   2.436776e-06   2.376452e-06   2.407513e-06   2.573820e-06   3.237002e-06   3.283592e-06   3.357574e-06   1.728796e-07   6.473138e-06   6.663515e-06   6.928800e-06   5.078723e-06   2.781602e-06   2.958371e-06   3.008044e-06   2.229652e-07   2.338114e-07   2.371292e-07   2.444178e-07   1.008489e-05   3.453272e-06   2.633026e-07   3.758215e-06   3.743167e-06   3.659373e-06   1.053221e-05   3.066667e-07   4.165787e-07   3.881801e-07   4.371813e-07   3.774569e-07
Ne20  8.221239e-03   8.779318e-03   9.853839e-03   1.057600e-02   2.571723e-04   1.135488e-02   1.172519e-02   1.242971e-02   1.242626e-02   1.268325e-02   1.368942e-02   1.817706e-02   1.929850e-02   1.955595e-02   5.876403e-04   6.051999e-02   6.183862e-02   6.246935e-02   4.736362e-02   1.489393e-02   1.780929e-02   1.952453e-02   7.610546e-04   7.979890e-04   8.105325e-04   8.367392e-04   1.292197e-01   3.331906e-02   9.025769e-04   3.125241e-02   2.941667e-02   3.394953e-02   1.515796e-01   1.054415e-03   1.434712e-03   1.334465e-03   1.504119e-03   1.299852e-03
Ne21  3.604465e-05   3.979367e-05   3.861999e-05   4.195880e-05   6.746408e-07   4.805059e-05   5.101106e-05   5.348906e-05   5.793017e-05   6.121361e-05   6.573156e-05   6.580764e-05   6.434086e-05   6.919870e-05   1.575959e-06   1.396619e-04   1.517843e-04   1.549670e-04   1.490472e-04   9.689841e-05   1.139379e-04   1.223116e-04   2.069483e-06   2.164572e-06   2.214068e-06   2.300236e-06   2.152460e-04   1.023941e-04   2.474730e-06   1.823864e-04   1.755735e-04   1.055408e-04   2.039941e-04   2.886594e-06   3.960529e-06   3.640539e-06   4.116701e-06   3.551278e-06
Ne22  6.426595e-04   6.783030e-04   6.128974e-04   6.416668e-04   2.001019e-05   6.872924e-04   7.029984e-04   7.332870e-04   7.580504e-04   7.758205e-04   8.052801e-04   9.456451e-04   1.010876e-03   1.051004e-03   4.559878e-05   2.653652e-03   2.983800e-03   3.009840e-03   3.408209e-03   3.423599e-03   3.396194e-03   3.526252e-03   5.893782e-05   6.180448e-05   6.269180e-05   6.462907e-05   5.952844e-03   5.431241e-03   6.966569e-05   6.298781e-03   6.437360e-03   6.112615e-03   7.789541e-03   8.118830e-05   1.102056e-04   1.027487e-04   1.157098e-04   9.995722e-05
